weakness,asset,severity,framework_refs,recommended_fix,owner,due,status,estate,poam_id,finding_ref_id,controls,weakness_description,detector_source,weakness_source_id,original_detection_date,scheduled_completion_date,status_date,milestones,original_risk_rating,point_of_contact,cve
Maester MT.1035,contoso.onmicrosoft.com,high,"cpg_3_F,csf_PR_AA_03,nist80053_IA-2,nist80053_IA-2(1)","Require FIDO2 or another phishing-resistant method for privileged Entra roles. This is a Maester posture finding from a dropped export, not a Graph API call.",,,open,DEMO: NOT A CLIENT,EGP-5BA9098A6F,SAAS-mt-1035-contoso-onmicrosoft-com,"IA-2, IA-2(1)",Privileged users should have phishing-resistant MFA,saas-idp,MT.1035,not recorded,pending due date,2026-09-26,pending due date,High,,
Microsoft Windows SMB Shares Unprivileged Access,http://10.0.0.20,high,"cpg_3_I,csf_PR_IR_01,nist80053_CM-7,nist80053_SC-7","Restrict TCP/445 (SMB) to required admin or file-share hosts. Confirm SMBv1 is disabled on the endpoint. This finding is an open-port exposure, not a dialect or CVE.",,,open,DEMO: NOT A CLIENT,EGP-0682485128,VULN-nessus-42411-http-10-0-0-20-445,"CM-7, SC-7","SMB file sharing is reachable without a privileged account. This is a dropped Nessus export, not a live scan. (Nessus file-drop; not a live scan)",vuln-scan (nessus),42411,not recorded,pending due date,2026-09-26,pending due date,High,,
Minimize the admission of privileged containers,cluster,high,"cpg_3_H,csf_PR_AA_05,nist80053_AC-6,nist80053_CM-7","Do not run privileged=true; block admission of privileged pods. This is a Kubescape/kube-bench/Falco finding from a dropped export, not a live kubectl call.",,,open,DEMO: NOT A CLIENT,EGP-0D85A76E6C,K8S-5-2-1-cluster,"AC-6, CM-7",Minimize the admission of privileged containers,"k8s-kubescape (kubescape, kube-bench)",5.2.1,not recorded,pending due date,2026-09-26,pending due date,High,,
Missing EDR on fleet-laptop-07,fleet-laptop-07,high,"cpg_4_A,csf_DE_CM_09,nist80053_SI-4,cis_13_2","Install the approved EDR/antivirus agent and confirm it reports healthy. This is an MDM file-drop assessment finding, not a live agent query.",,,open,DEMO: NOT A CLIENT,EGP-C2E0F34A83,WAZ-edr-intune-fleet-laptop-07,SI-4,"fleet-laptop-07 export lists endpoint detection / antivirus as missing. This is an endpoint-posture assessment finding from a dropped MDM export, not evidence of a breach or a live Intune/Jamf/osquery query.",host-wazuh,,not recorded,pending due date,2026-09-26,pending due date,High,,
Missing EDR on fleet-laptop-07,fleet-laptop-07,high,"cpg_4_A,csf_DE_CM_09,nist80053_SI-4,cis_13_2","Install the approved EDR/antivirus agent and confirm it reports healthy. This is an MDM file-drop assessment finding, not a live agent query.",,,open,DEMO: NOT A CLIENT,POAM-WAZ-edr-jamf-fleet-laptop-07,WAZ-edr-jamf-fleet-laptop-07,SI-4,"fleet-laptop-07 export lists endpoint detection / antivirus as missing. This is an endpoint-posture assessment finding from a dropped MDM export, not evidence of a breach or a live Intune/Jamf/osquery query.",host-wazuh,,not recorded,pending due date,2026-09-26,pending due date,High,,
Missing EDR on jump-unmanaged,jump-unmanaged,high,"cpg_4_A,csf_DE_CM_09,nist80053_SI-4,cis_13_2","Install the approved EDR/antivirus agent and confirm it reports healthy. This is an MDM file-drop assessment finding, not a live agent query.",,,open,DEMO: NOT A CLIENT,EGP-5CE5318EF7,WAZ-edr-intune-jump-unmanaged,SI-4,"jump-unmanaged export lists endpoint detection / antivirus as missing. This is an endpoint-posture assessment finding from a dropped MDM export, not evidence of a breach or a live Intune/Jamf/osquery query.",host-wazuh,,not recorded,pending due date,2026-09-26,pending due date,High,,
Nikto: Admin login page found.,http://10.0.0.20,high,"cpg_3_I,csf_PR_AA_05,nist80053_AC-6,nist80053_CM-7,nist80053_SC-7","Remove or restrict /admin (and sibling login/manager consoles) so they are not reachable from untrusted networks. Require SSO or VPN. This is a Nikto file-drop finding, not a live HTTP probe and not a hostname inventory row.",,,open,DEMO: NOT A CLIENT,EGP-255265C16E,VULN-nikto-admin-http-10-0-0-20-admin,"AC-6, CM-7, SC-7",Admin login page found. url=/admin (Nikto file-drop; not a live HTTP probe),"vuln-scan (nikto, nmap, inventory)",/admin,not recorded,pending due date,2026-09-26,pending due date,High,,
OpenSSL Heartbleed,10.0.0.30,high,"cpg_2_B,csf_PR_PS_02,nist80053_SI-2,nist80053_SC-8,nist80053_RA-5","Upgrade the TLS stack so Heartbleed is not offered, then regenerate private keys and reissue certificates (CISA TA14-098A). This is a dropped TLS export, not a live probe.",,,open,DEMO: NOT A CLIENT,EGP-5C40B48DB9,VULN-1-3-6-1-4-1-25623-1-0-103234-10-0-0-30,"SI-2, SC-8, RA-5",TLS heartbeat read overrun on web-01.,vuln-scan (greenbone),1.3.6.1.4.1.25623.1.0.103234,not recorded,pending due date,2026-09-26,pending due date,High,,CVE-2014-0160
Possible SQL injection via string format,services/payments/query.py,high,"cpg_2_B,csf_PR_PS_06,nist80053_SI-10,nist80053_SA-11","Parameterize queries. Do not concatenate untrusted input into SQL. This is a SAST/SARIF finding, not a CVE.",,,open,DEMO: NOT A CLIENT,EGP-1B99193A54,CODE-python-lang-security-audit-sql-injection-services-payments-query-py,"SI-10, SA-11",Possible SQL injection via string format,"code-secrets (sarif, semgrep)",python.lang.security.audit.sql-injection,not recorded,pending due date,2026-09-26,pending due date,High,,
Privileged role,it-admin@example.com|example.okta.com,high,"cpg_unmapped,csf_unmapped,nist80053_AC-2,nist80053_AC-6","Confirm the admin role from the dropped IdP export. isAdmin means any admin role, not Global Administrator. This is not a Graph or Okta API call.",,,open,DEMO: NOT A CLIENT,EGP-487523ABFD,SAAS-standing-admin-it-adminexample-com,"AC-2, AC-6","Export lists SUPER_ADMIN for it-admin@example.com. This is not a Global Administrator claim. This is an identity-posture assessment finding from a dropped IdP export, not evidence of a breach or a live Graph/Okta/Google API call.",saas-idp,,not recorded,pending due date,2026-09-26,pending due date,High,,
Privileged role (unspecified),admin@example.com|example.com,high,"cpg_unmapped,csf_unmapped,nist80053_AC-2,nist80053_AC-6","Confirm the admin role from the dropped IdP export. isAdmin means any admin role, not Global Administrator. This is not a Graph or Okta API call.",,,open,DEMO: NOT A CLIENT,EGP-BC8CE74E85,SAAS-standing-admin-adminexample-com,"AC-2, AC-6","Export lists Privileged role (unspecified) for admin@example.com. This is not a Global Administrator claim. This is an identity-posture assessment finding from a dropped IdP export, not evidence of a breach or a live Graph/Okta/Google API call.",saas-idp,,not recorded,pending due date,2026-09-26,pending due date,High,,
Privileged users require MFA,contoso.onmicrosoft.com,high,"cpg_3_F,csf_PR_AA_03,nist80053_IA-2,nist80053_IA-2(1)",Enforce MFA on privileged Okta/Entra/Google roles from the dropped ScubaGear or Okta export. This is not a Graph or Okta API call.,,,open,DEMO: NOT A CLIENT,EGP-4EEEE5EE04,SAAS-privileged-users-require-mfa-contoso-onmicrosoft-com,"IA-2, IA-2(1)",Admin MFA not enforced for Global Administrator,saas-idp (scuba),Privileged users require MFA,not recorded,pending due date,2026-09-26,pending due date,High,,
RDS instance is publicly accessible,rds-app-prod,high,"cpg_3_S,csf_PR_IR_01,nist80053_SC-7,nist80053_AC-3","Set PubliclyAccessible=false and place the instance in private subnets. This is an RDS exposure finding, not a CVE.",,,open,DEMO: NOT A CLIENT,EGP-715049DEA3,CLD-rds-instance-no-public-access-123456789012-rds-app-prod,"SC-7, AC-3",RDS instance PubliclyAccessible=true.,cloud-prowler,rds_instance_no_public_access,not recorded,pending due date,2026-09-26,pending due date,High,,
Redis without auth,https://redis-a.lab.internal,high,"cpg_3_I,csf_PR_AA_05,nist80053_IA-2,nist80053_AC-3,nist80053_CM-6,nist80053_CM-7,nist80053_SC-7,cis_4_1,cis_4_8,cis_5_2","Enable Redis ACL users or requirepass with a strong secret, set protected-mode yes, bind Redis to localhost or a private interface only, and firewall TCP/6379. Rename or disable CONFIG, MODULE, and DEBUG for application users. Rescan with nmap redis-info to verify INFO is refused.",,,open,DEMO: NOT A CLIENT,EGP-647DE09109,VULN-exposed-redis-https-redis-a-lab-internal,"IA-2, AC-3, CM-6, CM-7, SC-7","Unauthenticated Redis on three LAB-shaped demo hosts. Same template, three assets. DEMO estate — not a client KEEP.",vuln-scan (nuclei),exposed-redis,not recorded,pending due date,2026-09-26,pending due date,High,,
Redis without auth,https://redis-b.lab.internal,high,"cpg_3_I,csf_PR_AA_05,nist80053_IA-2,nist80053_AC-3,nist80053_CM-6,nist80053_CM-7,nist80053_SC-7,cis_4_1,cis_4_8,cis_5_2","Enable Redis ACL users or requirepass with a strong secret, set protected-mode yes, bind Redis to localhost or a private interface only, and firewall TCP/6379. Rename or disable CONFIG, MODULE, and DEBUG for application users. Rescan with nmap redis-info to verify INFO is refused.",,,open,DEMO: NOT A CLIENT,EGP-E5A5AF0149,VULN-exposed-redis-https-redis-b-lab-internal,"IA-2, AC-3, CM-6, CM-7, SC-7","Unauthenticated Redis on three LAB-shaped demo hosts. Same template, three assets. DEMO estate — not a client KEEP.",vuln-scan (nuclei),exposed-redis,not recorded,pending due date,2026-09-26,pending due date,High,,
Redis without auth,https://redis-c.lab.internal,high,"cpg_3_I,csf_PR_AA_05,nist80053_IA-2,nist80053_AC-3,nist80053_CM-6,nist80053_CM-7,nist80053_SC-7,cis_4_1,cis_4_8,cis_5_2","Enable Redis ACL users or requirepass with a strong secret, set protected-mode yes, bind Redis to localhost or a private interface only, and firewall TCP/6379. Rename or disable CONFIG, MODULE, and DEBUG for application users. Rescan with nmap redis-info to verify INFO is refused.",,,open,DEMO: NOT A CLIENT,EGP-B57CE7F3B7,VULN-exposed-redis-https-redis-c-lab-internal,"IA-2, AC-3, CM-6, CM-7, SC-7","Unauthenticated Redis on three LAB-shaped demo hosts. Same template, three assets. DEMO estate — not a client KEEP.",vuln-scan (nuclei),exposed-redis,not recorded,pending due date,2026-09-26,pending due date,High,,
Roastable SPN,SVC-KRBTGT-ROAST,high,"cpg_3_B,csf_PR_AA_01,nist80053_IA-5,nist80053_AC-2","Use a gMSA or rotate the SPN password; avoid user accounts with SPNs. This is a Kerberoast finding, not a secret-in-repo rotation.",,,open,DEMO: NOT A CLIENT,EGP-1D97B7EAEA,ID-roastable-spn-svc-krbtgt-roast,"IA-5, AC-2",SVC-KRBTGT-ROAST has an SPN and is kerberoastable.,identity-ad,,not recorded,pending due date,2026-09-26,pending due date,High,,
Roastable SPN,SVC-SQL@CORP.LOCAL,high,"cpg_3_B,csf_PR_AA_01,nist80053_IA-5,nist80053_AC-2","Use a gMSA or rotate the SPN password; avoid user accounts with SPNs. This is a Kerberoast finding, not a secret-in-repo rotation.",,,open,DEMO: NOT A CLIENT,EGP-64243EE03B,ID-roastable-spn-svc-sqlcorp-local,"IA-5, AC-2",SVC-SQL@CORP.LOCAL has an SPN and is kerberoastable.,identity-ad,,not recorded,pending due date,2026-09-26,pending due date,High,,
Root account has no MFA,root,high,"cpg_3_F,csf_PR_AA_03,nist80053_IA-2,nist80053_IA-2(1)","Enable MFA on the account root. Prefer a hardware key. This is a root-identity posture finding, not a CVE.",,,open,DEMO: NOT A CLIENT,EGP-15AD69F129,CLD-iam-root-mfa-enabled-123456789012-root,"IA-2, IA-2(1)",Root user has no MFA device.,cloud-prowler,iam_root_mfa_enabled,not recorded,pending due date,2026-09-26,pending due date,High,,
S3 Bucket has an ACL defined which allows public READ access.,infra/terraform.tfvars,high,"cpg_3_S,csf_PR_AA_05,nist80053_AC-3,nist80053_AC-6,nist80053_SC-7",Remove public ACL/policy on the bucket. Keep the object private unless a documented exception exists.,,,open,DEMO: NOT A CLIENT,EGP-C0D7472C4D,CODE-ckv-aws-20-infra-terraform-tfvars-aws-s3-bucket-demo,"AC-3, AC-6, SC-7",CKV_AWS_20 S3 Bucket has an ACL defined which allows public READ access. resource=aws_s3_bucket.demo file=infra/terraform.tfvars (Checkov file-drop; not a live IaC scan),code-secrets (checkov),CKV_AWS_20,not recorded,pending due date,2026-09-26,pending due date,High,,
S3 bucket allows public access,arn:aws:s3:::demo-asff-open,high,"cpg_3_S,csf_PR_AA_05,nist80053_AC-3,nist80053_AC-6,nist80053_SC-7","Remove public ACLs and bucket policies (S3 Public Access Block; drop AllUsers/AuthenticatedUsers). This is an ACL/public-access finding, not a default-encryption change.",,,open,DEMO: NOT A CLIENT,EGP-476574DDAC,CLD-s3-bucket-public-access-arn-aws-s3-demo-asff-open,"AC-3, AC-6, SC-7",Bucket demo-asff-open has a public-access block disabled and is reachable by AllUsers.,cloud-prowler,s3_bucket_public_access,not recorded,pending due date,2026-09-26,pending due date,High,,
S3 bucket default encryption is not enabled,arn:aws:s3:::demo-public-assets,high,"cpg_3_K,csf_PR_DS_01,nist80053_SC-28,nist80053_SC-13","Enable default bucket encryption with SSE-S3 or SSE-KMS. This is an encryption-at-rest finding, not a bucket-policy exposure.",,,open,DEMO: NOT A CLIENT,EGP-4EBC78720E,CLD-s3-bucket-server-side-encryption-enabled-arn-aws-s3-demo-public-assets,"SC-28, SC-13",ASFF export: encryption not enforced on demo-public-assets.,cloud-prowler,s3_bucket_server_side_encryption_enabled,not recorded,pending due date,2026-09-26,pending due date,High,,
SMB 445 exposed,dc.corp.local,high,"cpg_3_I,csf_PR_IR_01,nist80053_CM-7,nist80053_SC-7","Restrict TCP/445 (SMB) to required admin or file-share hosts. Confirm SMBv1 is disabled on the endpoint. This finding is an open-port exposure, not a dialect or CVE.",,,open,DEMO: NOT A CLIENT,EGP-18F6139776,NMAP-dc-corp-local-445-tcp,"CM-7, SC-7",dc.corp.local has open TCP/445 (microsoft-ds).,inventory-nmap (nmap),nmap-port-445/tcp,2023-11-14,2023-12-14,2026-09-26,"M1 2023-11-21 Validate finding, confirm asset owner and scope; M2 2023-12-07 Apply fix: Harden or restrict SMB file sharing; M3 2023-12-14 Rescan to verify closure and attach evidence",High,,
SMB 445 exposed,filesrv.corp.local,high,"cpg_3_I,csf_PR_IR_01,nist80053_CM-7,nist80053_SC-7","Restrict TCP/445 (SMB) to required admin or file-share hosts. Confirm SMBv1 is disabled on the endpoint. This finding is an open-port exposure, not a dialect or CVE.",,,open,DEMO: NOT A CLIENT,EGP-89762A2D4D,NMAP-filesrv-corp-local-445-tcp,"CM-7, SC-7",filesrv.corp.local has open TCP/445 (microsoft-ds).,inventory-nmap (nmap),nmap-port-445/tcp,not recorded,pending due date,2026-09-26,pending due date,High,,
SMB null session allowed on DC01.CORP.LOCAL,DC01.CORP.LOCAL,high,"cpg_3_I,csf_PR_AA_05,nist80053_AC-14,nist80053_AC-3,nist80053_IA-2","Disable anonymous/null SMB sessions (RestrictNullSessAccess; no guest). This is a null-session finding, not only an open TCP/445 exposure.",,,open,DEMO: NOT A CLIENT,EGP-4479D79C61,ID-null-session-dc01-corp-local,"AC-14, AC-3, IA-2",DC01.CORP.LOCAL enum4linux-ng export shows an anonymous/null SMB session.,identity-ad,,not recorded,pending due date,2026-09-26,pending due date,High,,
SPF +all on corp.example.invalid,corp.example.invalid,high,"cpg_3_L,csf_PR_DS_02,nist80053_SI-8,nist80053_SC-8,cis_9_5","Replace SPF +all with -all (or a scoped include). This is a Seen DNS control-gap candidate, not a breach.",,,open,DEMO: NOT A CLIENT,EGP-2C655685FA,DNS-corp-example-invalid-spf-pass-all,"SI-8, SC-8","corp.example.invalid publishes SPF +all (any sender passes). Control gap candidate. This is a Seen DNS/TXT observation (email_dns lane), not mailbox compromise and not a breach.",dns-email,,not recorded,pending due date,2026-09-26,pending due date,High,,
ScoutSuite s3: Bucket readable by AllUsers,demo-scout-public,high,"cpg_3_S,csf_PR_AA_05,nist80053_AC-3,nist80053_AC-6,nist80053_SC-7","Remove public ACLs and bucket policies (S3 Public Access Block; drop AllUsers/AuthenticatedUsers). This is an ACL/public-access finding, not a default-encryption change.",,,open,DEMO: NOT A CLIENT,EGP-C79D79795E,CLD-s3-bucket-allusers-read-demo-scout-public,"AC-3, AC-6, SC-7",s3 Bucket readable by AllUsers,cloud-prowler,s3-bucket-allusers-read,not recorded,pending due date,2026-09-26,pending due date,High,,
Sensitive external hostname admin.example.com,admin.example.com,high,"cpg_3_S,csf_PR_IR_01,nist80053_SC-7,cis_1_1","Do not publish vpn/admin/dev hostnames on the open internet. This is a dropped EASM finding, not a live DNS/HTTP probe.",,,open,DEMO: NOT A CLIENT,EGP-45FF89D43E,EASM-admin-example-com,SC-7,admin.example.com is exposed on the public perimeter.,easm,,not recorded,pending due date,2026-09-26,pending due date,High,,
Sensitive external hostname dev-api.example.com,dev-api.example.com,high,"cpg_3_S,csf_PR_IR_01,nist80053_SC-7,cis_1_1","Do not publish vpn/admin/dev hostnames on the open internet. This is a dropped EASM finding, not a live DNS/HTTP probe.",,,open,DEMO: NOT A CLIENT,EGP-420B2A1F5F,EASM-dev-api-example-com,SC-7,dev-api.example.com is exposed on the public perimeter.,easm,,not recorded,pending due date,2026-09-26,pending due date,High,,
Sensitive external hostname vpn.example.com,vpn.example.com,high,"cpg_3_S,csf_PR_IR_01,nist80053_SC-7,cis_1_1","Do not publish vpn/admin/dev hostnames on the open internet. This is a dropped EASM finding, not a live DNS/HTTP probe.",,,open,DEMO: NOT A CLIENT,EGP-AA31A918D4,EASM-vpn-example-com,SC-7,vpn.example.com is exposed on the public perimeter.,easm,,not recorded,pending due date,2026-09-26,pending due date,High,,
Stale guest account,contractor@example.com|example.okta.com,high,"cpg_3_D,csf_PR_AA_01,nist80053_AC-2","Disable or remove guest accounts with stale last-sign-in. This is an IdP file-drop assessment finding, not a Graph/Okta API call.",,,open,DEMO: NOT A CLIENT,EGP-B0AB19930B,SAAS-stale-guest-contractorexample-com,AC-2,"Export lists guest contractor@example.com with a stale last-sign-in (2024-02-01T00:00:00+00:00). Review guest access hygiene. This is an identity-posture assessment finding from a dropped IdP export, not evidence of a breach or a live Graph/Okta/Google API call.",saas-idp,,not recorded,pending due date,2026-09-26,pending due date,High,,
Stale guest account,guest.ext@example.com|example.com,high,"cpg_3_D,csf_PR_AA_01,nist80053_AC-2","Disable or remove guest accounts with stale last-sign-in. This is an IdP file-drop assessment finding, not a Graph/Okta API call.",,,open,DEMO: NOT A CLIENT,EGP-10539B5485,SAAS-stale-guest-guest-extexample-com,AC-2,"Export lists guest guest.ext@example.com with a stale last-sign-in (2024-02-01T00:00:00+00:00). Review guest access hygiene. This is an identity-posture assessment finding from a dropped IdP export, not evidence of a breach or a live Graph/Okta/Google API call.",saas-idp,,not recorded,pending due date,2026-09-26,pending due date,High,,
Stale guest account,vendor_ext#EXT#@contoso.onmicrosoft.com|contoso.onmicrosoft.com,high,"cpg_3_D,csf_PR_AA_01,nist80053_AC-2","Disable or remove guest accounts with stale last-sign-in. This is an IdP file-drop assessment finding, not a Graph/Okta API call.",,,open,DEMO: NOT A CLIENT,EGP-6E3260171C,SAAS-stale-guest-vendor-extextcontoso-onmicrosoft-com,AC-2,"Export lists guest vendor_ext#EXT#@contoso.onmicrosoft.com with a stale last-sign-in (2024-01-15T00:00:00+00:00). Review guest access hygiene. This is an identity-posture assessment finding from a dropped IdP export, not evidence of a breach or a live Graph/Okta/Google API call.",saas-idp,,not recorded,pending due date,2026-09-26,pending due date,High,,
TLS 1.0 is offered,dev-api.example.com,high,"cpg_3_K,csf_PR_DS_02,nist80053_SC-8,nist80053_SC-13","Disable TLS 1.0 and require TLS 1.2 or newer. This is a dropped TLS export, not a live probe.",,,open,DEMO: NOT A CLIENT,EGP-1216DA041C,VULN-tls1-dev-api-example-com-203-0-113-20,"SC-8, SC-13",TLS 1.0 offered,vuln-scan (testssl),TLS1,not recorded,pending due date,2026-09-26,pending due date,High,,
TLS 1.0 offered,vpn.example.com,high,"cpg_3_K,csf_PR_DS_02,nist80053_SC-8,nist80053_SC-8(1),nist80053_SC-13","Disable TLS 1.0 and require TLS 1.2 or newer. This is a dropped TLS export, not a live probe.",,,open,DEMO: NOT A CLIENT,EGP-E006BF4DC0,VULN-sslscan-tls10-vpn-example-com,"SC-8, SC-8(1), SC-13",TLS 1.0 enabled on vpn.example.com,vuln-scan (sslscan),TLS10,not recorded,pending due date,2026-09-26,pending due date,High,,
TLS stack is vulnerable to Heartbleed,dev-api.example.com,high,"cpg_2_B,csf_PR_PS_02,nist80053_SI-2,nist80053_RA-5,nist80053_SC-8","Upgrade the TLS stack so Heartbleed is not offered, then regenerate private keys and reissue certificates (CISA TA14-098A). This is a dropped TLS export, not a live probe.",,,open,DEMO: NOT A CLIENT,EGP-4D166DC411,VULN-cve-2014-0160-dev-api-example-com-203-0-113-20,"SI-2, RA-5, SC-8",Heartbleed still offered on TLS,vuln-scan (testssl),heartbleed,not recorded,pending due date,2026-09-26,pending due date,High,,CVE-2014-0160
TruffleHog AWS,infra/terraform.tfvars,high,"cpg_3_C,csf_PR_AA_01,nist80053_IA-5,nist80053_SI-4,cis_3_3","Rotate the secret, revoke the old value, and remove it from the repo. The pack redacts secret material.",,,open,DEMO: NOT A CLIENT,EGP-7DADB23977,CODE-trufflehog-aws-infra-terraform-tfvars,"IA-5, SI-4",AWS secret in infra/terraform.tfvars value=[REDACTED] verified=False,code-secrets (trufflehog),,not recorded,pending due date,2026-09-26,pending due date,High,,
Unconstrained delegation,DC01.CORP.LOCAL,high,"cpg_3_H,csf_PR_AA_05,nist80053_AC-6,nist80053_IA-2","Disable unconstrained delegation; prefer constrained or resource-based. This is a BloodHound file-drop finding, not a live AD call.",,,open,DEMO: NOT A CLIENT,EGP-FB2B95B72E,ID-unconstrained-delegation-dc01-corp-local,"AC-6, IA-2",DC01.CORP.LOCAL has unconstrained Kerberos delegation.,identity-ad,,not recorded,pending due date,2026-09-26,pending due date,High,,
Wazuh agent disconnected: db-01,db-01,high,"cpg_4_B,csf_DE_CM_01,nist80053_SI-4,cis_13_2","Reconnect the agent or enroll the host in Fleet/Wazuh. This is a coverage finding from a dropped export, not a live query.",,,open,DEMO: NOT A CLIENT,EGP-1957B81CEE,WAZ-coverage-db-01,SI-4,Endpoint db-01 is disconnected; coverage gap.,host-wazuh,,not recorded,pending due date,2026-09-26,pending due date,High,,
Wazuh agent disconnected: fleet-laptop-07,fleet-laptop-07,high,"cpg_4_B,csf_DE_CM_01,nist80053_SI-4,cis_13_2","Reconnect the agent or enroll the host in Fleet/Wazuh. This is a coverage finding from a dropped export, not a live query.",,,open,DEMO: NOT A CLIENT,EGP-CC9B81FC14,WAZ-coverage-fleet-laptop-07,SI-4,Endpoint fleet-laptop-07 is disconnected; coverage gap.,host-wazuh,,not recorded,pending due date,2026-09-26,pending due date,High,,
Wazuh agent disconnected: jump-unmanaged,jump-unmanaged,high,"cpg_4_B,csf_DE_CM_01,nist80053_SI-4,cis_13_2","Reconnect the agent or enroll the host in Fleet/Wazuh. This is a coverage finding from a dropped export, not a live query.",,,open,DEMO: NOT A CLIENT,EGP-AEC2504FF3,WAZ-coverage-jump-unmanaged,SI-4,Endpoint jump-unmanaged is never_connected; coverage gap.,host-wazuh,,not recorded,pending due date,2026-09-26,pending due date,High,,
WhatWeb admin interface on admin.example.com,admin.example.com,high,"cpg_3_S,csf_PR_IR_01,nist80053_AC-17,nist80053_SC-7","Move the admin UI off the public perimeter or put it behind SSO/VPN. This is a dropped httpx/EASM finding, not a live HTTP probe.",,,open,DEMO: NOT A CLIENT,EGP-F23B55BBEC,EASM-admin-example-com-whatweb-admin,"AC-17, SC-7","admin.example.com presents an admin/login interface (title=Admin Login). This is a dropped WhatWeb export, not a live HTTP probe.",easm,,not recorded,pending due date,2026-09-26,pending due date,High,,
Writable SMB share C$ on filesrv.corp.local,filesrv.corp.local,high,"cpg_3_I,csf_PR_AA_05,nist80053_AC-3,nist80053_AC-6,nist80053_CM-7","Disable or ACL C$/ADMIN$/IPC$ so they are not reachable off the admin network. Restrict TCP/445 (SMB) to the admin network. Confirm SMBv1 is disabled. This is a share-exposure finding, not a dialect or CVE.",,,open,DEMO: NOT A CLIENT,EGP-8F31DC658F,NMAP-filesrv-corp-local-share-c,"AC-3, AC-6, CM-7","filesrv.corp.local smbmap export shows C$ as READ, WRITE.",inventory-nmap (nmap),,not recorded,pending due date,2026-09-26,pending due date,High,,
curl SOCKS heap overflow,app-server:latest,high,"cpg_2_B,csf_PR_PS_02,nist80053_SI-2,nist80053_RA-5,cis_7_3,cis_7_4,cis_7_7",Upgrade curl/libcurl to 8.4.0 or later so CVE-2023-38545 (SOCKS5 heap buffer overflow) is not present.,,,open,DEMO: NOT A CLIENT,EGP-6FE30228A9,VULN-cve-2023-38545-app-server-latest,"SI-2, RA-5",Heap buffer overflow in curl SOCKS handshake.,vuln-scan (trivy),,not recorded,pending due date,2026-09-26,pending due date,High,,CVE-2023-38545
intune encryption compliance 33.3%,intune-estate,high,"cpg_3_K,csf_PR_DS_01,nist80053_SC-28,nist80053_MP-5","Enable FileVault, BitLocker, or LUKS on the endpoint. This is a Fleet/Intune/Jamf file-drop finding, not a live agent query.",,,open,DEMO: NOT A CLIENT,EGP-F90B2E75FF,WAZ-enc-compliance-intune,"SC-28, MP-5","Export shows 1/3 measured devices encrypted (33.3% compliance). This is an endpoint-posture assessment finding from a dropped MDM export, not evidence of a breach or a live Intune/Jamf/osquery query.",host-wazuh,,not recorded,pending due date,2026-09-26,pending due date,High,,
jamf encryption compliance 50.0%,jamf-estate,high,"cpg_3_K,csf_PR_DS_01,nist80053_SC-28,nist80053_MP-5","Enable FileVault, BitLocker, or LUKS on the endpoint. This is a Fleet/Intune/Jamf file-drop finding, not a live agent query.",,,open,DEMO: NOT A CLIENT,EGP-5E15BF6FA5,WAZ-enc-compliance-jamf,"SC-28, MP-5","Export shows 1/2 measured devices encrypted (50.0% compliance). This is an endpoint-posture assessment finding from a dropped MDM export, not evidence of a breach or a live Intune/Jamf/osquery query.",host-wazuh,,not recorded,pending due date,2026-09-26,pending due date,High,,
osquery disk_encryption: Disk encryption is disabled,jump-unmanaged,high,"cpg_3_K,csf_PR_DS_01,nist80053_SC-28,nist80053_MP-5","Enable FileVault, BitLocker, or LUKS on the endpoint. This is a Fleet/Intune/Jamf file-drop finding, not a live agent query.",,,open,DEMO: NOT A CLIENT,EGP-779757A7FF,WAZ-osquery-disk-encryption-jump-unmanaged,"SC-28, MP-5",Disk encryption is disabled,host-wazuh,disk_encryption,not recorded,pending due date,2026-09-26,pending due date,High,,
semver regular expression DoS,package-lock.json,high,"cpg_2_B,csf_PR_PS_02,nist80053_SI-2,nist80053_RA-5,cis_7_3,cis_7_4,cis_7_7","Upgrade semver to a release that remediates CVE-2022-25883. This is a vulnerability finding, not a config-drift playbook.",,,open,DEMO: NOT A CLIENT,EGP-05BE5CCE95,CODE-cve-2022-25883-package-lock-json,"SI-2, RA-5",ReDoS in npm semver.,code-secrets (trivy),,not recorded,pending due date,2026-09-26,pending due date,High,,CVE-2022-25883
Administrative share exposed on dc.corp.local (C$/ADMIN$),dc.corp.local,medium,"cpg_3_I,csf_PR_AA_05,nist80053_AC-3,nist80053_AC-6,nist80053_CM-7","Disable or ACL C$/ADMIN$/IPC$ so they are not reachable off the admin network. Restrict TCP/445 (SMB) to the admin network. Confirm SMBv1 is disabled. This is a share-exposure finding, not a dialect or CVE.",,,open,DEMO: NOT A CLIENT,EGP-D6B30C6C65,NMAP-dc-corp-local-admin-share,"AC-3, AC-6, CM-7",dc.corp.local has SMB open; C$/ADMIN$ administrative shares should be restricted.,inventory-nmap (nmap),,2023-11-14,2024-02-12,2026-09-26,"M1 2023-11-28 Validate finding, confirm asset owner and scope; M2 2024-02-05 Apply fix: Restrict Windows admin shares; M3 2024-02-12 Rescan to verify closure and attach evidence",Moderate,,
